Inviabilidades	FO
0	83.547309
0	83.815108
0	83.749264
0	83.547309
0	83.547309
0	83.749264
0	83.759038
0	83.815108
0	83.749264
0	83.815108
0	83.547309
0	83.749264
0	83.547309
0	83.874254
0	83.749264
0	83.749264
0	83.446454
0	83.749264
0	83.815108
0	83.749264
0	83.446454
0	83.874254
0	83.547309
0	83.874254
0	83.874254
0	83.874254
0	83.815108
0	83.874254
0	83.815108
0	83.749264
0	83.547309
0	83.749264
0	83.547309
0	83.749264
0	83.446454
0	83.547309
0	83.749264
0	83.446454
0	83.759038
0	83.749264
0	83.749264
0	83.446454
0	83.547309
0	83.749264
0	83.446454
0	83.446454
0	83.815108
0	83.446454
0	83.874254
0	83.749264
