Inviabilidades	FO
2	70748.473316
2	73732.314526
2	75045.038740
2	70748.473316
4	70480.710920
3	71370.601893
2	70748.473316
3	69917.177588
3	74589.323529
2	73721.909842
2	72457.650531
2	72054.581409
2	72457.650531
4	69927.869299
3	69917.177588
3	71370.601893
2	72457.650531
3	71370.601893
2	72054.581409
3	72245.409122
3	72788.938715
2	72054.581409
4	70467.056448
2	73721.909842
3	74855.381401
3	71370.601893
3	69917.177588
2	73721.909842
2	72457.650531
3	75504.663728
3	69917.177588
3	69917.177588
2	72457.650531
2	73732.314526
3	70217.653242
2	72054.581409
2	73732.314526
2	73721.909842
4	70396.780446
2	72054.581409
2	73721.909842
3	71370.601893
2	72457.650531
3	75646.758979
3	69917.177588
3	70217.653242
2	70748.473316
3	69917.177588
3	75504.663728
2	70748.473316
