Inviabilidades	FO
5	72920.021830
5	72920.021830
9	72501.110900
5	73077.803197
5	72920.021830
5	72920.021830
7	71705.050180
5	73077.803197
5	72920.021830
5	72920.021830
5	72920.021830
5	72920.021830
6	72136.738213
6	72136.738213
8	70070.027594
6	72136.738213
5	73077.803197
6	72790.759951
6	72136.738213
6	72136.738213
5	72920.021830
6	72136.738213
5	72920.021830
5	72920.021830
5	72920.021830
6	72790.759951
5	72920.021830
5	72920.021830
7	72135.519252
5	72920.021830
5	73077.803197
8	72462.768967
5	72920.021830
5	72920.021830
8	70310.919490
8	70070.027594
7	71705.050180
7	72135.519252
6	72136.738213
6	72136.738213
5	72920.021830
7	72135.519252
5	72920.021830
5	72920.021830
5	73077.803197
6	72136.738213
6	72136.738213
5	72920.021830
5	73077.803197
6	72136.738213
