Inviabilidades	FO
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
2	4204765.087509
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5430705.764502
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5430705.764502
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
3	3228501.425674
1	5430705.764502
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
1	5068812.743340
