Inviabilidades	FO
2	70274.976815
2	70274.976815
6	70440.740152
2	70274.976815
3	70601.409923
6	70534.440478
6	70440.740152
2	70274.976815
2	70274.976815
3	70726.965861
3	70601.409923
2	70274.976815
2	70274.976815
2	70274.976815
2	70274.976815
2	70274.976815
2	70274.976815
3	70601.409923
3	70601.409923
6	70440.740152
6	70440.740152
2	70274.976815
3	70601.409923
2	70274.976815
6	71306.964507
3	70601.409923
2	70274.976815
2	70274.976815
2	70274.976815
2	70274.976815
3	70601.409923
2	70274.976815
6	71306.964507
2	70274.976815
2	70274.976815
3	70601.409923
5	70045.124253
2	70274.976815
3	70601.409923
2	70274.976815
2	70274.976815
2	70274.976815
6	71306.964507
2	70274.976815
3	70601.409923
2	70274.976815
2	70274.976815
2	70274.976815
3	70601.409923
6	71306.964507
