Inviabilidades	FO
0	85.754200
0	85.946683
0	85.823765
0	85.894595
0	85.823765
0	85.946683
0	85.946683
0	85.946683
0	85.823765
0	85.946683
0	85.894595
0	85.754200
0	85.946683
0	85.894595
0	85.894595
0	85.946683
0	85.894595
0	85.946683
0	85.946683
0	85.754200
0	85.894595
0	85.754200
0	85.754200
0	85.894595
0	85.754200
0	85.754200
0	85.823765
0	85.754200
0	85.754200
0	85.894595
0	85.946683
0	85.894595
0	85.894595
0	85.946683
0	85.946683
0	85.894595
0	85.754200
0	85.754200
0	85.894595
0	85.894595
0	85.823765
0	85.823765
0	85.894595
0	85.894595
0	85.823765
0	85.823765
0	85.823765
0	85.894595
0	85.823765
0	85.946683
