Inviabilidades	FO
4	5095934.040879
4	6662300.824659
4	6662300.824659
4	6662300.824659
4	5095934.040879
4	5095934.040879
4	6662300.824659
4	6662300.824659
4	6662300.824659
4	5095934.040879
4	5095934.040879
4	6662300.824659
4	5095934.040879
4	6662300.824659
4	6662300.824659
5	6613722.398920
4	6662300.824659
5	6144868.679651
4	5095934.040879
4	5095934.040879
4	5095934.040879
4	5095934.040879
4	6662300.824659
4	6662300.824659
4	5095934.040879
4	6662300.824659
4	5095934.040879
4	5095934.040879
5	6144868.679651
4	5095934.040879
4	5095934.040879
4	6662300.824659
5	6613722.398920
4	5095934.040879
4	6662300.824659
4	5095934.040879
4	6662300.824659
4	5095934.040879
4	5095934.040879
4	5095934.040879
5	6613722.398920
4	5095934.040879
4	5095934.040879
4	5095934.040879
4	6662300.824659
4	5095934.040879
4	6662300.824659
4	5095934.040879
4	5095934.040879
5	6613722.398920
