Inviabilidades	FO
1	70128.855318
0	70450.493687
0	70191.266238
0	70237.147364
1	70138.459665
0	70237.147364
1	70128.855318
0	70237.147364
0	70237.147364
0	70450.493687
1	70128.855318
1	70100.851964
0	70237.147364
1	70128.855318
0	70191.266238
1	70128.855318
0	70237.147364
1	70128.855318
0	70450.493687
1	70100.851964
1	70128.855318
0	70237.147364
0	70237.147364
0	70450.493687
1	70128.855318
0	70450.493687
0	70450.493687
1	70128.855318
1	70100.851964
0	70450.493687
0	70237.147364
0	70237.147364
0	70191.266238
0	70237.147364
0	70237.147364
0	70450.493687
0	70237.147364
1	70100.851964
1	70128.855318
1	70100.851964
1	70128.855318
0	70237.147364
0	70191.266238
1	70128.855318
0	70191.266238
0	70450.493687
0	70514.082101
0	70450.493687
1	70128.855318
0	70450.493687
