Inviabilidades	FO
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
0	118726.724346
