Inviabilidades	FO
0	15691.106522
0	15691.106522
0	15691.106522
0	15699.994660
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
0	15691.106522
