Inviabilidades	FO
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
0	89.386800
