Inviabilidades	FO
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4866415.426792
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
4	4098506.288323
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
4	4098506.288323
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
3	4816345.183167
4	4098506.288323
3	4816345.183167
3	4816345.183167
