Inviabilidades	FO
4	5268594.230782
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	5268594.230782
4	5086463.530381
6	4884439.668414
4	5086463.530381
4	5086463.530381
4	5268594.230782
4	5268594.230782
4	5268594.230782
4	5268594.230782
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	6228840.584001
4	5086463.530381
4	5086463.530381
5	5172432.945540
4	5086463.530381
4	5086463.530381
6	4884439.668414
4	5086463.530381
4	5086463.530381
5	5172432.945540
4	5086463.530381
4	5086463.530381
5	5482448.313381
4	5086463.530381
4	5268594.230782
4	5086463.530381
4	5268594.230782
4	5086463.530381
6	4884439.668414
4	5268594.230782
4	5268594.230782
4	5086463.530381
4	5268594.230782
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	5086463.530381
4	6228840.584001
4	5086463.530381
4	5268594.230782
