Inviabilidades	FO
7	4263580.884340
7	4263580.884340
7	4263580.884340
7	4263580.884340
7	5656795.404044
7	5052643.189141
8	4845185.620020
7	5656795.404044
6	5271074.321712
8	4302785.223553
7	5448498.882561
6	5271074.321712
7	4263580.884340
7	4263580.884340
6	5271074.321712
6	5271074.321712
7	5052643.189141
7	4263580.884340
7	4263580.884340
7	4263580.884340
7	5052643.189141
7	4263580.884340
7	5448498.882561
7	4263580.884340
7	4263580.884340
6	5271074.321712
7	5656795.404044
7	4263580.884340
6	5271074.321712
8	4235662.561536
8	4235662.561536
7	5656795.404044
7	5656795.404044
6	5271074.321712
8	4526695.395387
7	5656795.404044
7	5448498.882561
8	4845185.620020
7	5656795.404044
7	4263580.884340
7	4263580.884340
8	4266223.522957
7	4263580.884340
7	5656795.404044
6	5271074.321712
7	5656795.404044
7	5052643.189141
7	4792344.778733
7	4263580.884340
6	5271074.321712
