Inviabilidades	FO
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	6542535.894467
6	6440205.572795
5	5081865.453296
5	6542535.894467
5	5081865.453296
5	5081865.453296
5	6542535.894467
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	6542535.894467
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	5081865.453296
6	6440205.572795
5	5081865.453296
6	6440205.572795
6	6440205.572795
5	5081865.453296
5	5081865.453296
5	6542535.894467
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	5081865.453296
5	5081865.453296
6	6440205.572795
5	6542535.894467
5	5081865.453296
6	7054376.982558
5	5081865.453296
5	6542535.894467
5	5081865.453296
5	5081865.453296
6	7054376.982558
5	6542535.894467
5	6542535.894467
5	5081865.453296
6	7054376.982558
5	5081865.453296
5	5081865.453296
5	5081865.453296
