Inviabilidades	FO
6	70377.301764
5	73000.481576
4	70502.219669
5	70708.686151
5	70708.686151
4	70502.219669
5	70708.686151
7	73282.888349
5	70708.686151
6	70377.301764
5	70708.686151
4	70502.219669
7	73282.888349
6	70444.937619
4	70502.219669
4	70502.219669
4	70502.219669
8	72753.368504
5	70708.686151
4	70502.219669
5	70708.686151
7	71688.876887
4	70502.219669
5	70708.686151
6	70444.937619
4	70502.219669
5	70708.686151
4	70502.219669
6	74499.769657
6	73102.574298
8	76891.704050
5	73000.481576
5	70708.686151
5	70708.686151
4	70502.219669
4	70502.219669
5	70708.686151
4	70502.219669
4	70502.219669
4	70502.219669
4	70502.219669
5	70708.686151
5	70708.686151
5	70708.686151
5	70708.686151
5	73000.481576
4	70502.219669
7	73282.888349
4	70502.219669
5	70708.686151
