Inviabilidades	FO
0	68337.725438
0	68523.527646
0	68426.280241
0	68323.497258
0	68426.280241
0	68426.280241
0	68556.710923
0	68381.395583
0	68556.710923
0	68337.725438
0	68337.725438
0	68523.527646
0	68710.398246
0	68618.798291
0	68337.725438
0	68337.725438
0	68323.497258
0	68323.497258
0	68381.395583
0	68337.725438
0	68556.710923
0	68337.725438
0	68426.280241
0	68501.219434
0	68337.725438
0	68337.725438
0	68337.725438
0	68323.497258
0	68381.395583
0	68323.497258
0	68323.497258
0	68744.595345
0	68556.710923
0	68323.497258
0	68381.395583
0	68323.497258
0	68323.497258
0	68337.725438
0	68337.725438
0	68337.725438
0	68426.280241
0	68337.725438
0	68337.725438
0	68556.710923
0	68381.395583
0	68337.725438
0	68618.798291
0	68337.725438
0	68381.395583
0	68323.497258
