Inviabilidades	FO
0	118842.855563
1	118395.322075
1	118395.322075
1	118395.322075
0	118842.855563
0	118723.366528
0	118842.855563
0	118842.855563
0	118723.366528
0	118842.855563
0	118723.366528
0	118723.366528
1	118395.322075
1	118395.322075
1	118395.322075
0	118723.366528
0	118842.855563
0	118723.366528
0	118842.855563
0	118842.855563
0	118723.366528
0	118970.246904
0	118723.366528
1	118395.322075
1	118395.322075
0	118842.855563
0	119989.845885
1	118395.322075
0	118723.366528
1	118395.322075
1	118395.322075
0	118842.855563
0	118970.246904
1	118395.322075
1	118395.322075
0	118842.855563
1	118395.322075
0	118723.366528
0	118842.855563
1	118395.322075
0	119989.845885
1	118395.322075
1	118395.322075
0	118723.366528
0	118723.366528
0	118723.366528
1	118395.322075
1	118395.322075
1	118395.322075
1	118395.322075
