Inviabilidades	FO
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
0	218.064706
