Inviabilidades	FO
2	70318.977477
1	70651.033118
2	71188.956757
1	70467.461216
2	70318.977477
2	70318.977477
2	70318.977477
1	70651.033118
1	70651.033118
1	70467.461216
2	70318.977477
2	70318.977477
2	70318.977477
2	70318.977477
1	70651.033118
2	70318.977477
1	70467.461216
1	70467.461216
1	70467.461216
2	70318.977477
2	70354.892356
2	70318.977477
1	70651.033118
2	71188.956757
1	70651.033118
2	70463.555570
1	70467.461216
1	70467.461216
2	70318.977477
2	70354.892356
2	70318.977477
2	70318.977477
2	70318.977477
2	70354.892356
2	70354.892356
1	70467.461216
1	70651.033118
3	70611.798710
2	70318.977477
2	70464.464426
2	70354.892356
1	70467.461216
1	70651.033118
1	70467.461216
2	70318.977477
2	70318.977477
2	70318.977477
2	70354.892356
2	70318.977477
1	70467.461216
