Inviabilidades	FO
3	5458939.385590
3	5458939.385590
3	5458939.385590
3	5217686.659094
4	5300810.625756
3	5217686.659094
3	5217686.659094
3	5458939.385590
3	5458939.385590
4	5300810.625756
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5458939.385590
3	5458939.385590
3	5458939.385590
3	5217686.659094
4	5300810.625756
3	5217686.659094
3	5217686.659094
3	5458939.385590
3	5217686.659094
3	5458939.385590
3	5458939.385590
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5217686.659094
3	5458939.385590
3	5217686.659094
3	5217686.659094
3	5458939.385590
3	5458939.385590
3	5217686.659094
3	5217686.659094
3	5217686.659094
4	5300810.625756
3	5458939.385590
3	5458939.385590
3	5217686.659094
3	5458939.385590
3	5630476.202611
3	5458939.385590
3	5217686.659094
