Inviabilidades	FO
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5918964.616506
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5918964.616506
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5918964.616506
0	5192671.642474
0	5192671.642474
1	5158585.550232
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
1	5158585.550232
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
0	5192671.642474
