Inviabilidades	FO
1	72026.837861
1	69922.303827
1	71636.811434
0	72610.792937
1	70833.960115
0	72610.792937
1	70833.960115
0	74131.177458
1	70688.290635
0	71523.439554
0	71593.334522
0	72798.218950
1	70688.290635
0	74131.177458
1	70688.290635
0	72610.792937
1	71146.179409
1	71487.290958
1	71487.290958
0	74131.177458
0	72610.792937
1	70688.290635
1	72074.540183
1	69922.303827
0	74131.177458
1	70833.960115
1	69922.303827
1	70641.025196
0	72798.218950
0	73312.962195
1	72235.245246
1	70879.993649
1	70647.382001
0	72798.218950
1	70688.290635
0	73312.962195
1	70688.290635
1	71061.712911
1	70641.025196
1	70833.960115
1	70641.025196
0	72798.218950
1	71387.859451
1	70688.290635
1	70833.960115
0	72610.792937
1	70833.960115
0	74131.177458
1	69922.303827
1	72235.245246
