Inviabilidades	FO
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
0	5198760.568375
